t (s),V (mV)
4.081,22.0904
6.122,21.9579
8.162,21.8318
10.203,21.7125
12.243,21.6009
14.284,21.495
16.324,21.3953
18.365,21.3017
20.405,21.2117
22.995,21.1046
25.036,21.0241
27.077,20.9462
29.117,20.8712
31.158,20.7993
33.198,20.7288
35.239,20.6603
37.279,20.593
39.32,20.5276
41.36,20.4632
43.401,20.4003
44.965,20.352
48.031,20.2605
50.072,20.1995
52.112,20.1398
54.153,20.0808
56.194,20.0231
58.234,19.9669
60.274,19.9098
62.315,19.8531
64.355,19.7973
66.396,19.7432
67.96,19.7003
71.027,19.6187
73.067,19.5644
75.108,19.5107
77.148,19.4568
79.189,19.4026
81.229,19.3513
83.27,19.2975
85.31,19.2439
87.351,19.1919
89.391,19.1399
90.956,19.0976
94.022,19.0215
96.063,18.9696
98.103,18.918
100.144,18.8655
102.184,18.815
104.225,18.7637
106.265,18.713
108.305,18.6608
110.346,18.6212
111.434,18.5956
112.998,18.5567
115.038,18.5068
118.105,18.432
120.145,18.3825
122.186,18.3326
124.226,18.283
126.267,18.2346
128.307,18.1872
130.348,18.1388
131.436,18.1138
132.999,18.0768
135.04,18.03
137.08,17.9826
139.121,17.9337
142.187,17.8637
144.227,17.8161
146.268,17.77
148.308,17.723
150.349,17.6756
151.437,17.6509
153.001,17.6159
155.041,17.5701
157.082,17.5232
159.122,17.4775
161.163,17.432
163.203,17.3865
166.269,17.319
168.31,17.2743
170.35,17.2292
172.39,17.1839
173.955,17.1492
175.995,17.1039
178.036,17.0588
180.076,17.0153
182.117,16.9716
184.157,16.9271
186.198,16.8836
189.264,16.8181
191.304,16.7746
193.345,16.7318
194.433,16.7071
195.996,16.6749
198.036,16.6319
200.077,16.5887
202.117,16.5461
204.158,16.5029
206.198,16.4595
208.239,16.4172
210.279,16.3746
213.345,16.3114
214.433,16.2893
215.997,16.2571
218.037,16.2151
220.078,16.1839
222.118,16.1429
224.159,16.1003
226.199,16.06
228.24,16.0189
230.28,15.9769
232.321,15.9358
234.361,15.8944
236.952,15.8424
238.992,15.801
241.033,15.7605
243.073,15.7211
245.114,15.6799
247.154,15.6408
249.195,15.6015
251.235,15.5616
253.275,15.522
255.316,15.4833
257.356,15.4429
259.947,15.3822
261.987,15.3563
264.028,15.316
266.068,15.2778
268.109,15.239
270.149,15.1998
272.19,15.1611
274.23,15.1227
276.271,15.0627
278.311,15.048
280.352,15.0098
282.942,14.9595
284.982,14.9224
287.023,14.8841
289.063,14.847
291.103,14.81
293.144,14.7281
295.184,14.6762
297.225,14.6393
299.265,14.6008
301.305,14.5631
303.346,14.5306
306.412,14.468
307.976,14.4413
310.016,14.4009
312.057,14.3622
314.097,14.3298
316.138,14.2895
318.178,14.2488
320.218,14.2127
322.259,14.1782
324.299,14.1398
326.339,14.1035
329.405,14.0466
330.97,14.0204
333.01,13.9856
335.051,13.9526
337.091,13.9185
339.132,13.885
341.172,13.8475
343.212,13.7953
345.253,13.7711
347.293,13.7342
349.333,13.7045
352.399,13.6483
353.964,13.6183
356.004,13.5933
358.044,13.5465
360.085,13.5137
362.125,13.4771
364.166,13.4402
366.206,13.4048
368.246,13.3728
370.287,13.3395
372.327,13.3055
375.393,13.2498
376.958,13.2303
378.998,13.1891
381.038,13.1567
383.079,13.1283
385.119,13.0905
387.16,13.0576
389.2,13.024
391.24,12.9894
393.281,12.9597
395.321,12.9319
397.435,12.8951
398.999,12.8667
401.039,12.8282
403.079,12.7945
405.12,12.763
407.16,12.7384
409.2,12.7
411.241,12.6713
413.281,12.6359
415.322,12.6097
417.362,12.5673
419.402,12.5433
421.993,12.4975
424.033,12.4703
426.073,12.4367
428.114,12.4057
430.154,12.3702
432.194,12.3393
434.235,12.3068
436.275,12.2766
438.316,12.2455
440.356,12.2164
442.396,12.1809
444.987,12.1434
447.027,12.1111
449.067,12.0808
451.108,12.0514
453.148,12.019
455.189,11.989
457.229,11.9588
459.269,11.9273
461.31,11.8984
463.35,11.8709
465.39,11.8461
467.981,11.7987
470.021,11.7686
472.061,11.741
474.102,11.7104
476.142,11.6837
478.183,11.6494
480.223,11.6232
482.263,11.5975
484.304,11.5634
486.344,11.5393
487.432,11.5187
490.022,11.4906
492.062,11.4662
494.102,11.4248
496.143,11.4016
498.183,11.3676
500.224,11.3457
502.264,11.311
504.304,11.2809
506.345,11.2507
507.433,11.2365
508.996,11.2327
511.037,11.1868
513.077,11.1566
516.143,11.1184
518.183,11.0879
520.224,11.0641
522.264,11.0358
